Vehicle ID,Departure Time,Arrival Time,Area,Average Speed
background_B_1_PARK_0,33,196,B,2.368603806358121
background_A_1_PUDO_0,71,293,A,3.546347176018128
background_A_1_PUDO_1,72,262,A,4.502982528328637
background_A_1_LUL_0,79,193,A,6.202529101424707
background_A_1_PUDO_2,84,182,A,6.1425223280783605
background_B_1_PUDO_0,102,246,B,3.006978589733719
background_B_1_PARK_1,107,289,B,3.15473936280443
background_B_1_LUL_0,137,317,B,12.770306161478011
background_A_1_PARK_0,166,275,A,4.7350456166628225
background_A_1_PUDO_3,167,217,A,4.271477460492641
background_A_1_PUDO_4,171,359,A,3.7629576773256326
background_B_1_LUL_1,188,341,B,3.631284592431758
background_B_1_PUDO_1,205,284,B,3.96036340239458
background_A_1_PUDO_5,218,372,A,5.733568054329643
background_A_1_LUL_1,284,405,A,8.68045793772174
background_B_1_PUDO_2,296,428,B,1.9765061259016623
background_B_1_PUDO_3,325,477,B,3.6514346830901063
background_A_1_LUL_2,334,427,A,6.340462072520663
background_A_1_LUL_3,337,494,A,4.380875391939399
background_B_1_LUL_2,342,496,B,2.671349693974041
background_B_1_LUL_3,365,521,B,6.444471440752678
background_A_1_PUDO_6,381,466,A,8.238539974914728
background_A_1_PARK_1,390,522,A,8.205144799375276
background_B_1_PUDO_4,405,504,B,4.382001967216014
background_A_1_PUDO_7,521,673,A,9.032298533155057
background_B_1_PUDO_5,544,685,B,3.4930542189170684
background_A_1_PARK_2,560,615,A,11.054305363546051
background_A_1_PARK_3,573,698,A,4.558495533418499
background_C_1_PUDO_0,594,680,C,4.378039572758006
background_A_1_PUDO_8,606,715,A,5.5373566127887655
background_A_1_PUDO_9,612,781,A,2.944466832981694
background_B_1_LUL_4,615,782,B,7.47086028253335
background_C_1_LUL_0,625,688,C,6.014259437610711
background_A_1_PARK_4,673,807,A,9.191251029337367
background_A_1_LUL_4,700,879,A,3.3821157593975273
background_A_1_PUDO_10,706,773,A,4.45433673975383
background_B_1_PARK_2,712,879,B,6.096478547703908
background_A_1_LUL_5,714,997,A,5.222773408195887
background_A_1_LUL_6,724,831,A,5.451216074400549
background_A_1_PARK_5,733,781,A,3.0510672911718864
background_A_1_LUL_7,778,871,A,4.72008896054756
background_A_1_PUDO_11,783,882,A,7.101022718877313
background_A_1_PUDO_12,836,927,A,2.304211886334542
background_A_1_LUL_8,855,936,A,9.21688250292595
background_C_1_PARK_0,869,942,C,8.843279385016677
background_A_1_PUDO_13,890,1070,A,5.0467567088174015
background_B_1_PUDO_6,905,964,B,7.815845862385104
background_B_1_LUL_5,911,1021,B,2.6790414055532996
background_A_1_PUDO_14,916,966,A,8.605878411864111
background_B_1_PUDO_7,955,1174,B,3.107667472477488
background_A_1_PUDO_15,981,1080,A,5.990044530202899
background_B_1_PUDO_8,1003,1103,B,10.595423291147974
background_A_1_LUL_9,1028,1147,A,7.290916945988652
background_A_1_PUDO_16,1044,1164,A,5.578159725611443
background_A_1_LUL_10,1065,1163,A,3.881314153619814
background_A_1_LUL_11,1077,1119,A,10.168429652405926
background_B_1_PUDO_9,1087,1243,B,2.470309542981093
background_A_1_LUL_12,1106,1227,A,4.125585776081762
background_A_1_PUDO_17,1119,1213,A,6.494208596554387
background_B_1_LUL_6,1127,1306,B,4.463143472225313
background_B_1_PUDO_10,1128,1350,B,9.689848153498728
background_A_1_PUDO_18,1162,1295,A,4.158423896252871
background_B_1_PUDO_11,1199,1342,B,4.357899026914721
background_B_1_LUL_7,1200,1365,B,4.10111842804336
background_B_1_LUL_8,1239,1451,B,1.7071382223000955
background_A_1_PARK_6,1245,1415,A,4.708688351160166
background_B_1_LUL_9,1277,1427,B,2.91038227710802
background_B_1_PUDO_12,1298,1442,B,2.0535681408938578
background_A_1_PUDO_19,1299,1444,A,4.843229630316473
background_A_1_PARK_7,1303,1431,A,9.965669201954746
background_C_1_PUDO_1,1306,1403,C,4.864786813600086
background_A_1_LUL_13,1307,1410,A,3.8932122517747167
background_A_1_PUDO_20,1308,1382,A,10.130692635536347
background_C_1_PUDO_2,1313,1374,C,3.876157319708693
background_A_1_LUL_14,1316,1473,A,3.5526394983014966
background_C_1_PUDO_3,1319,1355,C,10.784139148041495
background_A_1_PUDO_21,1323,1409,A,11.166920233651402
background_A_1_PARK_8,1329,1488,A,5.293110201424044
background_B_1_PUDO_13,1337,1468,B,4.414872808909396
background_A_1_PARK_9,1355,1515,A,4.267765410545864
background_A_1_LUL_15,1357,1540,A,5.165062292434438
background_B_1_LUL_10,1357,1541,B,1.458661681074147
background_B_1_PUDO_14,1387,1544,B,3.699399239256488
background_A_1_PARK_10,1402,1524,A,4.102434177390425
background_B_1_LUL_11,1439,1604,B,3.26379602590184
background_B_1_PUDO_15,1453,1631,B,1.397663818494762
background_B_1_PUDO_16,1487,1640,B,2.475814588618168
background_A_1_PUDO_22,1523,1645,A,6.123048852654676
background_B_1_PUDO_17,1527,1622,B,8.17521225643867
background_A_1_PUDO_23,1536,1617,A,7.0238984046666095
background_A_1_LUL_16,1540,1685,A,6.044356745939549
background_B_1_LUL_12,1551,1771,B,4.815097441045567
background_C_1_PUDO_4,1583,1647,C,7.742921877334135
background_B_1_PARK_3,1598,1730,B,1.9561609251713163
background_B_1_PUDO_18,1615,1756,B,3.325535274408296
background_B_1_LUL_13,1672,1804,B,4.109754329108388
background_A_1_LUL_17,1700,1805,A,8.359988459299108
background_C_1_PUDO_5,1740,1805,C,9.940189859625422
background_A_1_LUL_18,1742,1890,A,4.182119807702066
background_A_1_PUDO_24,1744,1828,A,5.575146624908204
background_B_1_PUDO_19,1744,1904,B,2.829455620645112
background_B_1_PUDO_20,1755,1915,B,10.743468388513831
background_B_1_PUDO_21,1760,1929,B,5.103014691426781
background_C_1_PUDO_6,1774,1893,C,4.237624799120551
background_B_1_PUDO_22,1794,1866,B,13.019556680501456
background_A_1_PUDO_25,1819,2017,A,2.6297715531080383
background_A_1_PARK_11,1826,1885,A,7.670833006914448
background_A_1_PARK_12,1826,1975,A,5.534182117468048
background_B_1_PUDO_23,1844,1989,B,3.504911262935302
background_A_1_PUDO_26,1887,1958,A,6.305456311380494
background_C_1_LUL_1,1930,1947,C,7.21518931112381
background_A_1_LUL_19,1938,1974,A,6.521859837800588
background_A_1_PUDO_27,1946,2137,A,5.516290133653838
background_A_1_PARK_13,1954,2142,A,3.770552344442126
background_A_1_PUDO_28,1960,2133,A,8.249870775867304
background_A_1_PUDO_29,1961,2056,A,3.598341723729892
background_C_1_LUL_2,1965,2054,C,4.259347498400965
background_B_1_LUL_14,1992,2176,B,3.7620459703195053
background_B_1_PUDO_24,1997,2079,B,4.213216225334263
background_A_1_PARK_14,2001,2185,A,3.883538066849503
background_C_1_PARK_1,2010,2086,C,9.414461722697919
background_A_1_LUL_20,2035,2138,A,6.1980711083216224
background_B_1_PARK_4,2056,2255,B,5.826983630262635
background_A_1_LUL_21,2058,2248,A,3.7463315251259703
background_A_1_PUDO_30,2081,2173,A,7.125851720643656
background_A_1_PUDO_31,2108,2265,A,5.160432154837673
background_B_1_PUDO_25,2148,2260,B,6.43416205977377
background_B_1_PUDO_26,2195,2297,B,5.057429424349664
background_B_1_LUL_15,2225,2331,B,6.763319685625174
background_A_1_PUDO_32,2231,2305,A,7.810439201028825
background_B_1_PARK_5,2257,2507,B,4.199517092916066
background_B_1_PUDO_27,2258,2368,B,5.972239010924973
background_B_1_PUDO_28,2258,2378,B,2.25728867410367
background_A_1_PARK_15,2286,2478,A,4.473786455056027
background_A_1_LUL_22,2288,2306,A,6.929387633948819
background_A_1_LUL_23,2318,2411,A,5.894818856086722
background_C_1_LUL_3,2321,2356,C,12.329040657943807
background_A_1_LUL_24,2347,2404,A,6.81812086304597
background_B_1_PUDO_29,2398,2550,B,6.890123025819568
background_B_1_PUDO_30,2398,2578,B,2.936963127806181
background_A_1_LUL_25,2425,2507,A,4.238504387512121
background_A_1_LUL_26,2434,2510,A,4.897582962297787
background_B_1_PARK_6,2462,2555,B,9.038457581098784
background_A_1_LUL_27,2465,2566,A,8.443746547587999
background_B_1_PUDO_31,2465,2603,B,6.352824822061246
background_C_1_PARK_2,2470,2534,C,6.263118444260031
background_B_1_PUDO_32,2486,2586,B,4.8274081638544315
background_A_1_LUL_28,2490,2640,A,4.303568950571713
background_A_1_PUDO_33,2514,2628,A,5.031441650845853
background_A_1_PUDO_34,2519,2735,A,3.7388644956562382
background_C_1_PUDO_7,2522,2585,C,4.87937462141103
background_A_1_PARK_16,2531,2645,A,4.185518586606483
background_A_1_PARK_17,2534,2712,A,6.89250446230236
background_B_1_PUDO_33,2534,2698,B,4.482753921386002
background_B_1_PUDO_34,2538,2726,B,11.280574461560185
background_A_1_PARK_18,2542,2653,A,5.776674530798618
background_A_1_PUDO_35,2556,2727,A,3.3433686861063463
background_A_1_PUDO_36,2572,2736,A,4.5032686708399465
background_A_1_PARK_19,2576,2793,A,5.349575997634407
background_B_1_PARK_7,2585,2667,B,8.383007493897573
background_B_1_PUDO_35,2619,2698,B,10.020635425492632
background_B_1_PUDO_36,2645,2716,B,12.6608328262132
background_A_1_LUL_29,2649,2758,A,13.044873151061157
background_B_1_PARK_8,2672,2779,B,3.194413992185606
background_B_1_LUL_16,2698,2858,B,2.787299694119143
background_A_1_PUDO_37,2733,2907,A,4.1859372820090455
background_A_1_PUDO_38,2744,2836,A,4.379284909773464
background_A_1_PARK_20,2755,2870,A,3.787607890593852
background_C_1_PUDO_8,2764,2836,C,9.495279294626933
background_C_1_PUDO_9,2879,2995,C,4.114761099431592
background_B_1_PUDO_37,2882,3029,B,2.4008628754203993
background_B_1_PUDO_38,2965,3052,B,7.2785886549317445
background_B_1_PUDO_39,2969,3161,B,3.013115212322236
background_C_1_PUDO_10,2974,3086,C,5.025503227972249
background_A_1_PUDO_39,2989,3154,A,5.930601919071848
background_A_1_PUDO_40,2991,3051,A,6.553506630349662
background_B_1_PARK_9,3005,3082,B,8.480315406170616
background_A_1_LUL_30,3023,3140,A,3.5870024310691067
background_B_1_PUDO_40,3032,3200,B,5.505424518148315
background_B_1_PUDO_41,3034,3134,B,5.325095601221431
background_B_1_PARK_10,3039,3134,B,8.91647291492321
background_A_1_LUL_31,3069,3221,A,4.092925877434166
background_A_1_PARK_21,3087,3273,A,6.123792297337272
background_B_1_PUDO_42,3087,3259,B,5.672665681639625
background_B_1_PARK_11,3125,3336,B,5.710138571916515
background_B_1_LUL_17,3138,3273,B,6.580575200238178
background_B_1_PUDO_43,3153,3260,B,9.647137032470143
background_A_1_PARK_22,3164,3241,A,5.832254127912643
background_A_1_PARK_23,3164,3203,A,9.950514418670823
background_A_1_PUDO_41,3179,3256,A,5.219650918117962
background_B_1_PUDO_44,3182,3396,B,2.7576437944671097
background_B_1_LUL_18,3192,3279,B,2.5358641202495567
background_B_1_LUL_19,3202,3291,B,4.456084513270797
background_A_1_LUL_32,3211,3331,A,4.378911423032035
background_C_1_PUDO_11,3216,3244,C,9.16930388458763
background_B_1_PUDO_45,3232,3277,B,11.173499437501171
background_A_1_PUDO_42,3251,3335,A,6.352628236730535
background_A_1_LUL_33,3260,3304,A,6.296552411015625
background_A_1_PUDO_43,3274,3400,A,3.0695263898048792
background_A_1_PARK_24,3308,3337,A,11.688881698530256
background_A_1_PUDO_44,3316,3468,A,5.808396253729121
background_A_1_LUL_34,3364,3483,A,4.8690880516614055
background_B_1_PARK_12,3364,3537,B,3.9650844092740436
background_A_1_PUDO_45,3366,3440,A,6.219283647178996
background_A_1_PUDO_46,3368,3465,A,3.344879185190233
