veh_id,departure_time,arrival_time,enter_location_system,leave_location_system,vehicle_type,parking_zone_sequence,intend_parking_block,prone_factor,max_num_of_zones_can_pass_through,actual_passed_through_zones_num,actual_passed_through_zones,whether_parking_success,parking_space_id,parking_time_legal,cruising_time_threshold_legal,average_cruising_speed,actual_cruising_time,selfish_factor,illegal_behavior_state,parking_space_type_illegal1,average_cruising_speed_illegal,actual_cruising_time_illegal,whether_illegal_parking_success
parking_A_1_PARK_0,16,2388,di,do,PARK,"['a', 'c', 'b']",a17,2,3,1,['a'],True,ap12_1,2244.7596390640183,95,8.740494984280307,45,0,0,,,0,False
parking_A_1_LUL_0,27,1359,ai,do,LUL,"['a', 'b', 'c']",a17,2,1,1,['a'],True,ap17_2,1068.1752088510063,268,6.231082514134729,57,1,0,,,0,False
parking_B_1_PUDO_0,85,347,bi,do,PUDO,"['b', 'a', 'c']",b8,0,1,1,['b'],False,,32.60772651580941,61,4.486608703824611,61,0,0,,,0,False
parking_A_1_LUL_1,88,1278,di,ao,LUL,"['a', 'b', 'c']",a17,2,3,1,['a'],True,ap17_1,932.6926645297666,277,5.557039160768926,53,1,0,,,0,False
parking_B_1_LUL_0,113,2522,ci,co,LUL,"['b', 'c', 'a']",b8,2,3,1,['b'],True,bp8_3,2043.6920756999602,210,4.019040272643543,85,0,0,,,0,False
parking_A_1_PUDO_0,133,790,ci,ao,PUDO,"['a', 'b', 'c']",a17,2,1,1,['a'],True,ap17_5,385.6487480564494,104,5.3291930843200355,34,1,0,,,0,False
parking_A_1_PUDO_1,176,1011,di,co,PUDO,"['a', 'b', 'c']",a18,0,1,1,['a'],True,ap8_2,639.486864591211,226,3.7264935803821064,37,1,0,,,0,False
parking_A_1_PUDO_2,187,654,ci,bo,PUDO,"['a', 'b', 'c']",a18,2,3,1,['a'],True,ap11_3,141.3773842548265,178,8.572421019369434,55,1,0,,,0,False
parking_B_1_PUDO_1,187,476,ai,ao,PUDO,"['b', 'c', 'a']",b17,2,2,1,['b'],True,bp17_4,5.721943814565737,242,6.3899769351990185,55,0,0,,,0,False
parking_A_1_PARK_1,197,2340,ci,do,PARK,"['a', 'b', 'c']",a8,0,3,1,['a'],True,ap7_4,1967.69520502108,75,8.317800796309673,29,0,0,,,0,False
parking_C_1_PUDO_0,199,559,ci,co,PUDO,"['c', 'a', 'b']",c8,1,3,1,['c'],True,cp8_2,65.9533031849163,52,7.511748636003342,36,1,0,,,0,False
parking_C_1_PUDO_1,209,1348,ci,ao,PUDO,"['c', 'a', 'b']",c8,2,1,1,['c'],True,cp8_4,906.3011895793275,125,7.185550115518008,35,0,0,,,0,False
parking_A_1_PARK_2,284,2551,ci,ao,PARK,"['a', 'b', 'c']",a17,1,2,1,['a'],True,ap7_1,3831.7231423399976,134,6.66597225491864,135,1,1,PUDO,10.790215462116524,1,True
parking_A_1_PUDO_3,289,1178,di,ao,PUDO,"['a', 'b', 'c']",a17,1,1,1,['a'],True,ap12_2,656.6368397708908,313,9.151632327397856,41,1,0,,,0,False
parking_A_1_PARK_3,299,2290,ci,do,PARK,"['a', 'b', 'c']",a7,1,2,2,"['a', 'b']",True,bp14_1,1309.9409083232456,136,5.495273253696939,218,0,0,,,0,False
parking_A_1_LUL_2,330,1973,bi,co,LUL,"['a', 'b', 'c']",a8,2,3,1,['a'],True,ap8_1,1406.2807225928484,225,6.6059859068411475,14,0,0,,,0,False
parking_C_1_LUL_0,337,3532,ci,do,LUL,"['c', 'b', 'a']",c8,1,2,1,['c'],True,cp8_1,2954.361931236726,279,8.22088844950778,19,1,0,,,0,False
parking_A_1_LUL_3,360,2937,bi,ao,LUL,"['a', 'b', 'c']",a11,2,1,1,['a'],True,ap11_1,2241.3532045950133,238,5.792571338209907,51,1,0,,,0,False
