Vehicle ID,Departure Time,Arrival Time,Area,Average Speed
background_B_1_PUDO_0,14,143,B,6.234355877660156
background_B_1_PUDO_1,14,150,B,2.8982321255596033
background_B_1_LUL_0,29,104,B,10.585581540008473
background_B_1_PARK_0,33,108,B,11.660028036857916
background_B_1_PUDO_2,38,145,B,2.5039523676533326
background_A_1_LUL_0,69,220,A,3.1145045859296117
background_A_1_LUL_1,80,207,A,3.2645528604860568
background_A_1_PARK_0,123,268,A,7.653117656969994
background_A_1_LUL_2,131,311,A,4.221103136699806
background_B_1_PUDO_3,163,288,B,4.287800530671754
background_B_1_LUL_1,173,308,B,2.1985528820943534
background_A_1_PUDO_0,203,336,A,7.630832796528441
background_B_1_PARK_1,207,320,B,3.620295820830118
background_B_1_PUDO_4,248,400,B,4.30263644365705
background_A_1_PARK_1,257,436,A,4.803110621911618
background_B_1_PARK_2,392,463,B,9.877993107726386
background_B_1_LUL_2,399,480,B,6.288838778216991
background_A_1_PARK_2,403,513,A,4.117461398181695
background_B_1_PARK_3,410,553,B,9.868671832260443
background_C_1_PUDO_0,415,502,C,3.557139041246809
background_A_1_LUL_3,420,472,A,5.417779041680921
background_B_1_PARK_4,440,578,B,3.6459698378071352
background_A_1_PUDO_1,449,558,A,10.669970969084504
background_A_1_LUL_4,452,649,A,5.372708896082057
background_B_1_PUDO_5,497,678,B,4.038011919356064
background_A_1_PUDO_2,503,669,A,5.491093652138316
background_A_1_LUL_5,545,589,A,6.752469080791896
background_A_1_LUL_6,547,706,A,4.9441582959601735
background_B_1_LUL_3,595,771,B,2.588308457402487
background_A_1_LUL_7,623,758,A,6.877294591994263
background_A_1_PUDO_3,627,751,A,5.1365015587461755
background_B_1_PUDO_6,648,859,B,2.4052885000249113
background_A_1_PUDO_4,681,813,A,5.657513998847626
background_B_1_PUDO_7,735,839,B,5.391783392277403
background_A_1_PUDO_5,746,828,A,4.360099566143272
background_A_1_PUDO_6,765,855,A,5.086757577487991
background_A_1_PUDO_7,769,907,A,6.608816260348422
background_B_1_PUDO_8,769,858,B,11.55293928276332
background_A_1_PUDO_8,772,997,A,5.483204221787277
background_C_1_PUDO_1,774,876,C,7.182868849457052
background_A_1_PARK_3,786,858,A,7.182592522418525
background_A_1_LUL_8,798,904,A,9.00151352644475
background_A_1_LUL_9,800,868,A,8.839807053643124
background_A_1_PARK_4,800,950,A,4.747907128612677
background_B_1_LUL_4,833,959,B,4.955094565277654
background_B_1_PUDO_9,861,954,B,4.534015985420942
background_B_1_PUDO_10,901,1103,B,2.229069630711274
background_B_1_PARK_5,943,1054,B,3.9412918394611154
background_A_1_LUL_10,944,1029,A,5.926309980399361
background_A_1_PUDO_9,995,1061,A,12.345814155653997
background_A_1_LUL_11,1016,1083,A,8.067579544777265
background_A_1_LUL_12,1027,1080,A,9.951890867679566
background_B_1_PUDO_11,1055,1175,B,6.844325074030197
background_C_1_LUL_0,1105,1131,C,8.186858229754874
background_A_1_PUDO_10,1107,1217,A,4.68190004077198
background_A_1_PUDO_11,1118,1260,A,4.048674453502002
background_A_1_LUL_13,1125,1256,A,5.5070280796226445
background_A_1_PUDO_12,1125,1190,A,8.416460914705985
background_C_1_PUDO_2,1175,1230,C,9.615055382817491
background_A_1_PUDO_13,1264,1438,A,4.3889439987388865
background_C_1_PUDO_3,1285,1355,C,9.980883158547206
background_A_1_PUDO_14,1350,1512,A,4.07215646455152
background_B_1_LUL_5,1372,1528,B,2.7998812943017866
background_B_1_PARK_6,1373,1502,B,11.712890496329162
background_B_1_PARK_7,1394,1493,B,7.575619486968053
background_B_1_PUDO_12,1412,1549,B,6.335194353389245
background_A_1_LUL_14,1417,1573,A,3.936480909415898
background_A_1_PARK_5,1427,1529,A,3.586787072184104
background_B_1_PUDO_13,1434,1580,B,1.5435248508209725
background_A_1_PARK_6,1441,1500,A,5.432590092963137
background_C_1_PARK_0,1458,1533,C,7.875484668890037
background_A_1_LUL_15,1459,1621,A,3.6798323617312945
background_A_1_LUL_16,1460,1568,A,3.7210293945932276
background_A_1_PUDO_15,1493,1574,A,10.994355873038481
background_B_1_PARK_8,1506,1657,B,3.003825668341542
background_A_1_PARK_7,1527,1622,A,6.681486901237241
background_A_1_PARK_8,1538,1782,A,2.8103838954375235
background_A_1_LUL_17,1539,1701,A,4.293246570540272
background_B_1_PUDO_14,1546,1649,B,4.2729656594193495
background_A_1_PARK_9,1571,1718,A,3.2169711691599843
background_B_1_PUDO_15,1583,1762,B,3.2819752833513283
background_C_1_LUL_1,1590,1701,C,4.077470057010308
background_A_1_LUL_18,1612,1740,A,6.122629536972934
background_A_1_PUDO_16,1633,1771,A,5.057476514889284
background_A_1_PUDO_17,1660,1791,A,6.849454264767314
background_A_1_LUL_19,1670,1856,A,6.2423013671300325
background_B_1_PUDO_16,1677,1842,B,3.530524918783607
background_A_1_PUDO_18,1692,1771,A,6.177824623053936
background_A_1_PUDO_19,1733,1911,A,3.480445188330394
background_A_1_LUL_20,1734,1893,A,3.688812582211536
background_A_1_PARK_10,1746,1883,A,7.996424269413176
background_B_1_PARK_9,1759,1899,B,3.49567706316327
background_B_1_PUDO_17,1762,1945,B,5.260654117650707
background_A_1_PARK_11,1775,1902,A,5.239576917402392
background_B_1_PUDO_18,1783,1976,B,12.845119564220767
background_C_1_PUDO_4,1870,1946,C,6.002540120203184
background_B_1_LUL_6,1883,2066,B,2.466914183293445
background_B_1_PUDO_19,1890,1984,B,11.854823685175562
background_B_1_PARK_10,1915,2049,B,8.360593688569102
background_B_1_LUL_7,1925,2129,B,2.647259735782728
background_B_1_PARK_11,1929,2094,B,3.0042809396887384
background_A_1_PUDO_20,1933,2011,A,3.478956788162474
background_A_1_LUL_21,1943,2074,A,4.791905027544124
background_C_1_PUDO_5,1958,2034,C,4.750783558907448
background_C_1_PUDO_6,1970,2061,C,4.112320813485087
background_A_1_LUL_22,1982,2145,A,6.254980760494001
background_B_1_PUDO_20,1982,2036,B,11.909005659829225
background_B_1_PARK_12,2010,2142,B,7.720429980228979
background_A_1_PUDO_21,2046,2197,A,9.440182589716551
background_A_1_LUL_23,2062,2183,A,5.535408842374515
background_A_1_PUDO_22,2143,2244,A,7.59121718926976
background_A_1_LUL_24,2167,2303,A,5.471375848391279
background_A_1_PARK_12,2177,2322,A,3.6780257637501452
background_A_1_PUDO_23,2186,2256,A,4.661432996406063
background_B_1_PUDO_21,2192,2345,B,2.16184468815392
background_A_1_PARK_13,2205,2274,A,6.178448091715898
background_C_1_LUL_2,2217,2266,C,9.408869715905748
background_B_1_PUDO_22,2232,2367,B,7.927127553099747
background_A_1_PUDO_24,2233,2331,A,5.661176411871732
background_B_1_LUL_8,2261,2482,B,4.075420483646238
background_A_1_PARK_14,2378,2453,A,4.985737912954473
background_A_1_LUL_25,2391,2593,A,3.5186469369807485
background_A_1_LUL_26,2403,2605,A,6.24767494712356
background_C_1_PARK_1,2433,2534,C,6.938045838514126
background_C_1_PUDO_7,2473,2522,C,6.199409209251205
background_A_1_LUL_27,2478,2516,A,8.251506523701782
background_B_1_PUDO_23,2537,2688,B,8.082739582330065
background_C_1_LUL_3,2543,2634,C,4.373157408640387
background_A_1_LUL_28,2546,2600,A,6.794503647195069
background_A_1_PUDO_25,2559,2627,A,5.641505172324721
background_B_1_PUDO_24,2593,2788,B,2.7236985725146705
background_B_1_LUL_9,2611,2849,B,2.8601301032437556
background_A_1_PUDO_26,2621,2814,A,5.137073282337973
background_B_1_PUDO_25,2641,2891,B,1.825148321958188
background_B_1_PARK_13,2642,2814,B,1.9849213548599518
background_A_1_PUDO_27,2658,2783,A,5.967075319966667
background_A_1_PARK_15,2659,2787,A,3.062534853448736
background_A_1_PARK_16,2659,2815,A,4.917081773985165
background_A_1_PARK_17,2661,2790,A,3.9415723754861123
background_B_1_LUL_10,2670,2761,B,9.212474995848673
background_A_1_PUDO_28,2672,2827,A,3.7359816371817645
background_B_1_LUL_11,2675,2806,B,4.375842196762353
background_C_1_PARK_2,2685,2773,C,4.2577201579212165
background_B_1_PUDO_26,2689,2896,B,3.139498366301451
background_A_1_PARK_18,2717,2799,A,12.393767991221896
background_A_1_LUL_29,2718,2891,A,6.0643820204055965
background_B_1_PUDO_27,2739,2810,B,7.1877560055497725
background_A_1_PARK_19,2761,2948,A,7.9891988435870624
background_B_1_PUDO_28,2775,2949,B,3.070933697875702
background_A_1_LUL_30,2777,2871,A,5.78561986598498
background_A_1_PARK_20,2777,2890,A,6.218828127517688
background_B_1_PUDO_29,2786,2875,B,9.660041660553604
background_A_1_PUDO_29,2791,2873,A,6.998025141467042
background_B_1_PUDO_30,2792,2901,B,3.89563776184869
background_A_1_LUL_31,2794,2950,A,3.6556882188850515
background_C_1_LUL_4,2800,2814,C,7.734062813347309
background_C_1_LUL_5,2814,2900,C,4.966721852099198
background_B_1_PUDO_31,2868,3047,B,3.6664295948252867
background_A_1_PUDO_30,2869,2955,A,8.959753358989687
background_B_1_LUL_12,2888,2990,B,3.5746488447104823
background_A_1_PUDO_31,2897,3036,A,8.498949700170646
background_A_1_LUL_32,2951,3043,A,6.948015126049431
background_B_1_PUDO_32,2974,3139,B,3.653349574173535
background_B_1_PUDO_33,2976,3064,B,2.173074691493079
background_B_1_PUDO_34,2982,3099,B,7.357457957539609
background_A_1_PARK_21,2996,3176,A,6.178010168211895
background_B_1_PARK_14,3019,3135,B,4.211946483640959
background_A_1_LUL_33,3053,3143,A,7.201658797603552
background_B_1_PARK_15,3053,3191,B,3.970523023115671
background_A_1_PUDO_32,3068,3230,A,6.088823292555183
background_A_1_PUDO_33,3072,3281,A,4.071153910144466
background_B_1_PUDO_35,3087,3222,B,6.0544700471971415
background_A_1_PUDO_34,3092,3193,A,5.041940056345849
background_B_1_LUL_13,3110,3172,B,4.060917408403549
background_B_1_LUL_14,3127,3248,B,6.660487033161886
background_B_1_PUDO_36,3148,3275,B,8.854460913457194
background_B_1_PUDO_37,3150,3327,B,2.500189549776995
background_A_1_PUDO_35,3159,3280,A,8.685933755600447
background_B_1_PARK_16,3166,3349,B,4.398184351892237
background_C_1_PARK_3,3193,3273,C,5.16651006036208
background_A_1_LUL_34,3203,3320,A,8.578645514384723
background_A_1_PUDO_36,3258,3375,A,4.656527458190141
background_C_1_LUL_6,3274,3428,C,10.022059979060485
background_A_1_PUDO_37,3294,3408,A,6.280063412696521
background_C_1_LUL_7,3301,3345,C,9.687181673675466
background_A_1_PUDO_38,3322,3520,A,4.035950439693984
background_B_1_PUDO_38,3332,3446,B,7.9382652216212195
background_A_1_LUL_35,3341,3409,A,6.697016268338482
background_A_1_PUDO_39,3348,3454,A,6.014367880151752
background_A_1_LUL_36,3349,3505,A,4.36574497486473
background_A_1_PARK_22,3356,3475,A,4.548375307962537
background_A_1_PUDO_40,3369,3424,A,9.735568824126178
background_A_1_PUDO_41,3402,3531,A,10.657818270763617
background_C_1_PARK_4,3409,3553,C,4.47460785106642
background_A_1_LUL_37,3415,3593,A,4.069801196841698
background_B_1_LUL_15,3431,3584,B,2.6558722864866726
background_A_1_LUL_38,3433,3533,A,4.823119714660307
background_A_1_PUDO_42,3433,3601,A,3.5080625651137
background_A_1_PUDO_43,3449,3582,A,1.9441040866082495
background_B_1_PUDO_39,3473,3695,B,2.485629869047431
background_A_1_LUL_39,3500,3598,A,6.230627190970757
background_C_1_PUDO_8,3529,3591,C,10.047620614056893
background_B_1_PUDO_40,3561,3668,B,6.3277547178797375
background_A_2_PUDO_0,3600,3758,A,3.857251657922582
background_A_2_PUDO_1,3603,3721,A,4.478433837079455
background_A_2_PARK_0,3605,3791,A,3.454405614268817
background_A_2_PARK_1,3608,3912,A,2.848236392968411
background_B_2_LUL_0,3617,3857,B,2.9134531600939235
background_A_2_PUDO_2,3619,3802,A,3.117648062929598
background_B_2_LUL_1,3622,3679,B,5.8685817473456705
background_B_2_PUDO_0,3622,3790,B,3.1068263339908344
background_A_2_PARK_2,3623,3729,A,4.720063681070662
background_B_2_PUDO_1,3625,3719,B,5.723143020659987
background_B_2_PARK_0,3626,3772,B,9.099085101185587
background_A_2_PUDO_3,3628,3704,A,4.86911744703809
background_A_2_LUL_0,3636,3768,A,4.715942928637576
background_B_2_PUDO_2,3642,3796,B,3.1573365024228246
background_B_2_LUL_2,3645,3917,B,2.173172496668037
background_A_2_PARK_3,3646,3718,A,6.01706413094228
background_A_2_PUDO_4,3653,3774,A,4.644963255934356
background_B_2_LUL_3,3654,3793,B,4.872578970857955
