Vehicle ID,Start Time,End Time,Vehicle Type,Road ID
parking_B_1_PUDO_17,3651,3764,PUDO,b7
parking_C_1_PARK_2,3783,3840,PARK,c10
parking_B_2_PUDO_0,3830,3939,PUDO,b7
parking_C_2_PARK_0,3905,3938,PARK,c10
parking_B_1_PUDO_16,3975,3976,PUDO,b7
parking_A_2_PUDO_8,4126,4200,PUDO,a17
parking_A_2_PUDO_6,4199,4200,PUDO,a17
parking_C_1_LUL_4,4305,4306,LUL,c10
parking_B_2_PUDO_16,5054,5055,PUDO,b11
parking_A_2_LUL_18,5078,5199,LUL,a18
parking_A_2_PUDO_16,5172,5228,PUDO,a18
parking_A_2_PARK_13,5173,5353,PARK,a18
parking_A_2_LUL_22,5206,5328,LUL,a18
parking_A_2_PUDO_29,5227,5276,PUDO,a18
parking_A_2_PUDO_29,5336,5389,PUDO,a18
parking_A_2_LUL_26,5236,5385,LUL,a18
parking_B_2_PUDO_18,5260,5385,PUDO,a18
parking_A_2_PUDO_21,5271,5389,PUDO,a18
parking_A_2_LUL_5,5293,5357,LUL,a18
parking_A_1_LUL_18,5344,5389,LUL,a18
parking_A_2_LUL_27,5373,5389,LUL,a18
parking_A_2_PUDO_20,5388,5389,PUDO,a18
